title,type,year,duration,rating,genres,descriptors,tubi_url,torrent_found,seed_status,max_seeders,total_results
Scary Movie 3,movie,2003,1h 25m,PG-13,"Comedy, Horror, Sci-Fi",,https://tubitv.com/movies/100034860/scary-movie-3,True,healthy,293,152
Megan is Missing,movie,2011,1h 26m,TV-MA,"Drama, Horror, Thriller",,https://tubitv.com/movies/283959/megan-is-missing,True,healthy,200,45
Fear Factor: House of Fear,series,2026,,TV-14,Reality,"L, V",https://tubitv.com/series/300018966/fear-factor-house-of-fear,True,healthy,149,138
House of Wax,movie,2005,1h 53m,R,"Horror, Thriller",,https://tubitv.com/movies/100048010/house-of-wax,True,healthy,164,134
Thirteen Ghosts,movie,2001,1h 31m,R,"Horror, Fantasy, Thriller",,https://tubitv.com/movies/100048009/thirteen-ghosts,True,healthy,49,24
Jeepers Creepers,movie,2001,1h 32m,R,Horror,,https://tubitv.com/movies/312183/jeepers-creepers,True,healthy,1272,161
Scary Movie 3,movie,2003,1h 25m,PG-13,"Comedy, Horror, Sci-Fi",,https://tubitv.com/movies/100034860/scary-movie-3,True,healthy,293,152
The Taking of Deborah Logan,movie,2014,1h 31m,R,Horror,,https://tubitv.com/movies/521444/the-taking-of-deborah-logan,True,healthy,2393,83
Child's Play (1988),movie,1988,1h 28m,R,Horror,,https://tubitv.com/movies/438117/child-s-play-1988,True,healthy,35,37
Queen of the Damned,movie,2002,1h 42m,R,"Horror, Drama, Fantasy",,https://tubitv.com/movies/581920/queen-of-the-damned,True,healthy,215,110
Spree,movie,2020,1h 33m,TV-MA,"Horror, Crime, Comedy, Independent",,https://tubitv.com/movies/100040120/spree,True,healthy,152,161
Piranha 3D,movie,2010,1h 29m,R,"Comedy, Horror, Sci-Fi",,https://tubitv.com/movies/100016658/piranha-3d,True,healthy,45,99
Courage the Cowardly Dog,series,2002,,TV-PG,"Comedy, Horror, Animation",,https://tubitv.com/series/300019075/courage-the-cowardly-dog,True,healthy,102,151
Curse of the Blair Witch,movie,1999,44m,TV-14,"Documentary, Horror",,https://tubitv.com/movies/302809/curse-of-the-blair-witch,True,healthy,185,2
Scary Movie,movie,2000,1h 29m,R,"Comedy, Horror",,https://tubitv.com/movies/100034859/scary-movie,True,healthy,293,161
The Collapsed,movie,2011,1h 23m,TV-MA,"Horror, Drama, Sci-Fi, Thriller",,https://tubitv.com/movies/100056005/the-collapsed,True,healthy,534,84
Snake Outta Compton,movie,2018,1h 24m,R,"Horror, Comedy, Sci-Fi",,https://tubitv.com/movies/486424/snake-outta-compton,True,healthy,270,55
Scary Movie 2,movie,2001,1h 23m,R,"Comedy, Horror",,https://tubitv.com/movies/100034861/scary-movie-2,True,healthy,293,152
Creature,movie,1985,1h 35m,R,"Horror, Sci-Fi",,https://tubitv.com/movies/100046828/creature,True,healthy,102,247
247 Degrees Fahrenheit,movie,2011,1h 28m,TV-MA,"Horror, Thriller",,https://tubitv.com/movies/356372/247-degrees-fahrenheit,True,healthy,505,58
Bones and All,movie,2022,2h 11m,R,"Horror, Drama, Romance",,https://tubitv.com/movies/100042439/bones-and-all,True,healthy,1453,72
La esclava Isaura,series,2004,,TV-14,"Drama, Romance, Foreign/International",,https://tubitv.com/series/300015391/la-esclava-isaura,False,not_found,0,0
How to Lose a Popularity Contest,movie,2026,1h 43m,TV-14,"Romance, Comedy","D, L",https://tubitv.com/movies/100049581/how-to-lose-a-popularity-contest,True,healthy,170,8
Clifford,series,2003,,TV-Y,"Kids & Family, Adventure, Animation",,https://tubitv.com/series/300013071/clifford,True,healthy,69,159
The Last Challenge,movie,1967,1h 36m,TV-PG,Western,,https://tubitv.com/movies/100055425/the-last-challenge,True,healthy,1076,17
Igor,movie,2008,1h 27m,PG,"Kids & Family, Animation, Comedy",,https://tubitv.com/movies/334155/igor,True,healthy,91,160
Moisés y los diez mandamientos,series,2016,,TV-14,"Drama, Foreign/International",,https://tubitv.com/series/300015307/mois-s-y-los-diez-mandamientos,False,not_found,0,0
Fantasy Island,series,1984,,TV-G,"Fantasy, Comedy, Drama",,https://tubitv.com/series/300006868/fantasy-island,True,healthy,95,154
Cheech and Chong's Next Movie,movie,1980,1h 41m,R,Comedy,,https://tubitv.com/movies/469619/cheech-and-chong-s-next-movie,True,healthy,86,11
Secrets of a Side Chick,movie,2022,2h 3m,TV-MA,"Crime, Drama, Romance",,https://tubitv.com/movies/100021045/secrets-of-a-side-chick,False,not_found,0,0
Felon,movie,2008,1h 45m,R,"Thriller, Crime",,https://tubitv.com/movies/670405/felon,True,healthy,29,150
Goodfellas,movie,1990,2h 26m,R,"Drama, Crime",,https://tubitv.com/movies/610572/goodfellas,True,healthy,276,153
Kissing Is the Easy Part,movie,2026,1h 41m,TV-14,Romance,"D, L, S",https://tubitv.com/movies/100050541/kissing-is-the-easy-part,True,healthy,772,6
I Am Number Four,movie,2011,1h 50m,PG-13,"Sci-Fi, Action, Adventure",,https://tubitv.com/movies/100003807/i-am-number-four,True,healthy,63,151
Bullet Train,movie,2022,2h 7m,R,"Action, Comedy, Thriller",,https://tubitv.com/movies/100053685/bullet-train,True,healthy,705,160
Oldboy,movie,2003,2h 1m,R,"Thriller, Action, Independent, Foreign/International",,https://tubitv.com/movies/100052443/oldboy,True,healthy,249,158
Lawless,movie,2012,1h 56m,R,"Western, Action, Crime, Independent",,https://tubitv.com/movies/464155/lawless,True,healthy,341,158
Bones and All,movie,2022,2h 11m,R,"Horror, Drama, Romance",,https://tubitv.com/movies/100042439/bones-and-all,True,healthy,1453,72
Night at the Museum,movie,2006,1h 49m,PG,"Comedy, Adventure, Fantasy",,https://tubitv.com/movies/100053642/night-at-the-museum,True,healthy,601,161
The Count of Monte Cristo,movie,2002,2h 12m,PG-13,"Adventure, Drama",,https://tubitv.com/movies/100026714/the-count-of-monte-cristo,True,healthy,643,158
Sidelined: The QB and Me,movie,2024,1h 39m,TV-14,"Romance, Drama, Sport","D, L",https://tubitv.com/movies/100028262/sidelined-the-qb-and-me,True,healthy,1312,18
Donnie Darko (Director's Cut),movie,2001,2h 14m,R,"Thriller, Drama, Sci-Fi",,https://tubitv.com/movies/100010422/donnie-darko-director-s-cut,True,healthy,52,27
SLC Punk,movie,1999,1h 38m,R,"Drama, Comedy",,https://tubitv.com/movies/100007202/slc-punk,True,healthy,103,71
Foster's Home for Imaginary Friends,series,2008,,TV-G,"Kids & Family, Adventure, Comedy",,https://tubitv.com/series/300019076/foster-s-home-for-imaginary-friends,True,healthy,12,12
Terri Joe: Missionary in Miami,movie,2026,1h 22m,TV-MA,Comedy,"L, S",https://tubitv.com/movies/100050126/terri-joe-missionary-in-miami,True,healthy,126,6
Monty Python's Personal Best,series,2006,,TV-MA,"Comedy, Documentary",,https://tubitv.com/series/300015456/monty-python-s-personal-best,True,low_seed,4,10
